Center Director,مدير مركز الاستشارات
Only an assessment manager can publish or archive a version,لا يمكن نشر إصدار المقياس أو أرشفته إلا بواسطة مسؤول المقاييس
Only draft assessment versions can be deleted,لا يمكن حذف إلا إصدارات المقاييس المسودة
Assessment beneficiary must match the consultation case,يجب أن يطابق مستفيد المقياس مستفيد الحالة الاستشارية
Assessment consultant must match the assigned case consultant,يجب أن يطابق مستشار المقياس المستشار المسند للحالة
Assessment version does not match its template,إصدار المقياس لا يطابق قالبه
Only a published assessment version can be assigned,لا يمكن إسناد إلا إصدار مقياس منشور
Assigned assessment version is unavailable,إصدار المقياس المسند غير متاح
Answer all required assessment questions before submitting,أجب عن جميع أسئلة المقياس المطلوبة قبل الإرسال
A new assessment must start as assigned or in progress,يجب أن يبدأ المقياس كمطلوب أو محفوظ جزئيًا
A reviewed assessment is immutable,لا يمكن تعديل مقياس تمت مراجعته
Invalid assessment submission status transition,انتقال حالة المقياس غير صالح
Only the assigned professional can review an assessment,لا يمكن مراجعة المقياس إلا بواسطة المختص المسند
Assessments cannot be deleted; cancel them instead,لا يمكن حذف المقاييس؛ ألغِها بدلًا من ذلك
Case Referral,إحالة حالة
Supervision Request,طلب إشراف
Professional Escalation,تصعيد مهني
Referral Details,تفاصيل الإحالة
Referral Type,نوع الإحالة
Internal,داخلية
External,خارجية
Referral Reason,سبب الإحالة
Target Service,الخدمة المستهدفة
Target Organization,الجهة المستهدفة
Organization Contact,بيانات تواصل الجهة
Permitted Information,البيانات المسموح بمشاركتها
Consent Confirmed,تم تأكيد الموافقة
Supervisor Review,مراجعة المشرف
Supervisor Note,ملاحظة المشرف
Referral Outcome,نتيجة الإحالة
Follow Up Note,ملاحظة المتابعة
Pending Approval,بانتظار الاعتماد
Approved,معتمدة
Returned,معادة للاستكمال
Sent,أُرسلت
In Progress,قيد المتابعة
In Review,قيد المراجعة
Answered,تم الرد
Open,مفتوح
Acknowledged,تم الاطلاع
Action In Progress,الإجراء جارٍ
Resolved,تم الحل
Request Type,نوع الطلب
Case Guidance,توجيه للحالة
Documentation Review,مراجعة التوثيق
Ethical Consultation,استشارة مهنية وأخلاقية
Referral Guidance,توجيه الإحالة
Supervision Question,سؤال الإشراف
Preferred Datetime,الموعد المفضل
Supervisor Response,رد المشرف
Required Action,الإجراء المطلوب
Follow Up Date,تاريخ المتابعة
Requested By,طلبه
Requested On,طُلب في
Responded By,رد عليه
Responded On,تم الرد في
Assigned Supervisor,المشرف المسند
Supervisor,المشرف
supervisor,المشرف
Severity,درجة الخطورة
Moderate,متوسطة
Critical,حرجة
Professional Alert,التنبيه المهني
Alert Type,نوع التنبيه
Safeguarding,الحماية
Urgent Deterioration,تدهور عاجل
Conflict of Interest,تضارب مصالح
Service Risk,مخاطر تقديم الخدمة
Alert Summary,ملخص التنبيه
Immediate Action,الإجراء الفوري
Emergency Protocol Activated,تم تفعيل بروتوكول الطوارئ
Supervisor Action,إجراء المشرف
Resolution Note,ملاحظة الحل
Reported By,أبلغ عنه
Reported On,أُبلغ في
Last Action By,آخر إجراء بواسطة
Last Action On,آخر إجراء في
Created By,أنشأه
Created On,أُنشئ في
Consultation case was not found,لم يتم العثور على الحالة الاستشارية
Referral beneficiary must match the consultation case,يجب أن يطابق مستفيد الإحالة مستفيد الحالة الاستشارية
Referral consultant must match the assigned case consultant,يجب أن يطابق مستشار الإحالة المستشار المسند للحالة
Referral reason is required before submission,سبب الإحالة مطلوب قبل الإرسال
Specify the information permitted for referral,حدد البيانات المسموح بمشاركتها في الإحالة
Beneficiary consent must be confirmed for an external referral,يجب تأكيد موافقة المستفيد على الإحالة الخارجية
External referral organization is required,الجهة الخارجية للإحالة مطلوبة
A new referral must start as draft or pending approval,يجب أن تبدأ الإحالة الجديدة كمسودة أو بانتظار الاعتماد
A closed referral is immutable,لا يمكن تعديل إحالة مغلقة
Invalid referral status transition,انتقال حالة الإحالة غير صالح
Approved referral scope cannot be changed,لا يمكن تغيير نطاق الإحالة المعتمدة
Referrals cannot be deleted; cancel them instead,لا يمكن حذف الإحالات؛ ألغِها بدلًا من ذلك
Only a supervisor can review a referral,لا يمكن مراجعة الإحالة إلا بواسطة مشرف
Supervision request consultant must match the assigned case consultant,يجب أن يطابق مستشار طلب الإشراف المستشار المسند للحالة
Supervision request must be assigned to the case supervisor,يجب إسناد طلب الإشراف إلى مشرف الحالة
Supervision question is required,سؤال الإشراف مطلوب
A new supervision request must start as draft or submitted,يجب أن يبدأ طلب الإشراف الجديد كمسودة أو مرسل
A closed supervision request is immutable,لا يمكن تعديل طلب إشراف مغلق
Invalid supervision request status transition,انتقال حالة طلب الإشراف غير صالح
Supervisor response is required,رد المشرف مطلوب
Supervision requests cannot be deleted; cancel them instead,لا يمكن حذف طلبات الإشراف؛ ألغِها بدلًا من ذلك
Only a supervisor can respond to a supervision request,لا يمكن الرد على طلب الإشراف إلا بواسطة مشرف
Escalation beneficiary must match the consultation case,يجب أن يطابق مستفيد التصعيد مستفيد الحالة الاستشارية
Escalation consultant must match the assigned case consultant,يجب أن يطابق مستشار التصعيد المستشار المسند للحالة
Escalation must be assigned to the case supervisor,يجب إسناد التصعيد إلى مشرف الحالة
Escalation summary is required,ملخص التصعيد مطلوب
Immediate action is required for a critical escalation,الإجراء الفوري مطلوب للتصعيد الحرج
A new escalation must start as open,يجب أن يبدأ التصعيد الجديد بحالة مفتوح
A closed escalation is immutable,لا يمكن تعديل تصعيد مغلق
Invalid escalation status transition,انتقال حالة التصعيد غير صالح
Resolution note is required,ملاحظة الحل مطلوبة
Escalations cannot be deleted; close or cancel them instead,لا يمكن حذف التصعيدات؛ أغلقها أو ألغها بدلًا من ذلك
Only a supervisor can update an escalation,لا يمكن تحديث التصعيد إلا بواسطة مشرف
Professional Profile,الملف المهني
Qualifications,المؤهلات
Experience Summary,ملخص الخبرات
Licenses and Credentials,الرخص والاعتمادات
Suitable Beneficiary Groups,الفئات المناسبة من المستفيدين
Credential Expiry,انتهاء الاعتماد
Professional Development,التطوير المهني
Professional Development Hours,ساعات التطوير المهني
Development Requirements,متطلبات التطوير
Events Platform URL,رابط منصة الفعاليات
Weekday,اليوم
Start Time,وقت البداية
End Time,وقت النهاية
Slot Duration (minutes),مدة الموعد بالدقائق
Capacity,السعة
Scope,النطاق
Delivery Mode,طريقة التقديم
Effective From,ساري من
Effective To,ساري إلى
Monday,الاثنين
Tuesday,الثلاثاء
Wednesday,الأربعاء
Thursday,الخميس
Friday,الجمعة
Saturday,السبت
Sunday,الأحد
Online,عن بُعد
In Person,حضوري
Both,حضوري وعن بُعد
Support Ticket,طلب دعم
Requester,صاحب الطلب
Support Category,تصنيف الدعم
Access Issue,مشكلة دخول
Data Update,تحديث بيانات
Account Closure,إغلاق الحساب
Callback,طلب اتصال
Subject,الموضوع
Description,التفاصيل
Assigned To,مسند إلى
Public Response,الرد العام
Internal Note,ملاحظة داخلية
Resolved By,أغلقه
Resolved On,أُغلق في
Complaint,شكوى أو بلاغ
Complainant,مقدم البلاغ
Complaint Type,نوع البلاغ
Service Feedback,تقييم الخدمة
Confidential Complaint,شكوى سرية
Suggestion,اقتراح
Change Consultant,طلب تغيير مستشار
Confidentiality,السرية
Confidential,سري
Restricted,مقيد
Complaint Details,تفاصيل البلاغ
Investigation Note,ملاحظة التحقيق
Action Taken,الإجراء المتخذ
Under Review,قيد المراجعة
Action Required,يتطلب إجراء
Internal Announcement,إعلان داخلي
Audience,الجمهور
All,الجميع
Operations,التشغيل
Start Date,تاريخ البداية
End Date,تاريخ النهاية
Summary,الملخص
Content,المحتوى
Mandatory Read,إلزامي الاطلاع
Resource Content,محتوى داخلي
Content Type,نوع المحتوى
Article,مقال
Guide,دليل
File,ملف
Video,فيديو
External Link,رابط خارجي
External URL,الرابط الخارجي
Attachment,المرفق
Copyright Note,ملاحظة حقوق النشر
Support ticket subject and description are required,موضوع طلب الدعم وتفاصيله مطلوبان
A closed support ticket is immutable,لا يمكن تعديل طلب دعم مغلق
A public response is required before resolving support,الرد العام مطلوب قبل حل طلب الدعم
Support tickets cannot be deleted; close them instead,لا يمكن حذف طلبات الدعم؛ أغلقها بدلًا من ذلك
Complaint details are required,تفاصيل البلاغ مطلوبة
A closed complaint is immutable,لا يمكن تعديل بلاغ مغلق
A public response is required before resolving a complaint,الرد العام مطلوب قبل حل البلاغ
Complaints cannot be deleted; close them instead,لا يمكن حذف البلاغات؛ أغلقها بدلًا من ذلك
Case Document,ملف حالة
Document Type,نوع المستند
Beneficiary Upload,رفع المستفيد
Approved Summary,ملخص معتمد
General,عام
Visibility,سياسة الظهور
Beneficiary and Guardian,المستفيد وولي الأمر
Uploaded By,رفعه
Uploaded On,رُفع في
Case document scope does not match the consultation case,نطاق الملف لا يطابق الحالة الاستشارية
Case documents cannot be deleted; archive them instead,لا يمكن حذف ملفات الحالة؛ أرشفها بدلًا من ذلك
Instrument Kind,نوع الأداة
Administrative Form,نموذج إداري
Satisfaction Survey,استبيان رضا
Outcome Measure,مقياس متابعة للنتائج
Safety Screener,فاحص سلامة
Intended Use,الاستخدام المقصود
Validation Status,حالة التحقق
Internal Draft,مسودة داخلية
Content Reviewed,تمت مراجعة المحتوى
Piloted,مجرّبة مبدئيًا
Validated,متحقق من خصائصها
Licensed,مرخّصة
Reference or License,المرجع أو الترخيص
Dimension,البعد
Timeframe,الفترة الزمنية
Default Timeframe,الفترة الزمنية الافتراضية
Scoring Method,طريقة الاحتساب
Minimum Answered Percent,الحد الأدنى لنسبة الإجابة
Missing Answer Policy,سياسة الإجابات المفقودة
Exclude Missing,استبعاد الإجابات المفقودة
Require Complete,اشتراط اكتمال الإجابات
Prorate,احتساب نسبي من المجاب
No Automated Score,دون احتساب آلي
Average,المتوسط
Percentage,النسبة
Included in Score,يدخل في الدرجة
Weight,الوزن
Step,دقة الخطوة
Left Anchor,وصف البداية
Right Anchor,وصف النهاية
Response Options (JSON),خيارات الإجابة
Conditional Display,الإظهار المشروط
Depends on Question,يعتمد على سؤال
Condition,الشرط
Condition Value,قيمة الشرط
Equals,يساوي
Not Equals,لا يساوي
Contains,يتضمن
Safety and Escalation,السلامة والتصعيد
Safety Item,بند سلامة
Critical Values (JSON),القيم الحرجة
Immediate Action,الإجراء الفوري
Likert Agreement,اتفاق (ليكرت)
Frequency,التكرار
Frequency Scale,مقياس التكرار
Intensity,الشدة
Intensity Scale,مقياس الشدة
Difficulty,الصعوبة
Difficulty Scale,مقياس الصعوبة
Confidence,الثقة
Confidence Scale,مقياس الثقة
Numeric Rating,تقدير رقمي
Semantic Differential,قطبان وصفيان
Single Select,اختيار واحد
Multi Select,اختيارات متعددة
Ranking,ترتيب
Open Text,نص مفتوح
Matrix,مصفوفة
Scenario Based,موقف وسيناريو
Parent/Proxy Item,إجابة ولي الأمر
Observer Item,ملاحظة المختص
Goal Rating,تقييم هدف
Answer Label,وصف الإجابة
Weighted Score,الدرجة الموزونة
Excluded from Score,مستبعد من الدرجة
Safety Triggered,تنبيه سلامة
Answered Items,البنود المجابة
Scored Items,البنود المحتسبة
Dimension Scores (JSON),نتائج الأبعاد
Safety Alert Triggered,تم إطلاق تنبيه سلامة
Safety Alert Summary,ملخص تنبيه السلامة
Professional Escalation,التصعيد المهني
Source Assessment,المقياس المصدر
Age Interpretation Rules (JSON),قواعد التفسير حسب العمر
Automated Interpretation Band,نطاق التفسير المبرمج
